                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.86712,                 0.5023,                0.13638,                0.59071,                 0.4435,                0.46184,                0.28185,                0.58617,                0.58419,                0.06589,                 0.0001,                 0.0001,                 0.0001
                    102,                0.87453,                0.50013,                0.13634,                0.59142,                0.44374,                0.46256,                0.28251,                 0.5855,                0.58372,                0.06591,                 0.0001,                 0.0001,                 0.0001
                    103,                0.87976,                0.49753,                0.13728,                0.59424,                0.44426,                0.46325,                0.28284,                0.58477,                 0.5838,                0.06581,                 0.0001,                 0.0001,                 0.0001
                    104,                0.87366,                0.49844,                0.13733,                0.59287,                0.44537,                0.46393,                0.28349,                0.58431,                0.58403,                0.06569,                 0.0001,                 0.0001,                 0.0001
                    105,                0.86005,                0.50244,                0.12902,                0.59048,                 0.4478,                0.46483,                0.28385,                0.58335,                0.58412,                0.06551,                 0.0001,                 0.0001,                 0.0001
                    106,                0.86685,                0.50217,                0.13382,                 0.5943,                0.44721,                0.46572,                  0.284,                0.58261,                0.58463,                0.06548,                 0.0001,                 0.0001,                 0.0001
                    107,                0.85531,                0.50205,                0.12956,                0.59512,                0.44821,                0.46644,                0.28449,                0.58211,                0.58398,                0.06552,                 0.0001,                 0.0001,                 0.0001
                    108,                0.87729,                0.49765,                0.13471,                0.59713,                0.44816,                0.46752,                0.28522,                0.58217,                0.58357,                0.06529,                 0.0001,                 0.0001,                 0.0001
                    109,                0.86046,                0.49986,                0.13258,                0.59299,                0.44984,                0.46796,                0.28561,                0.58143,                0.58342,                0.06517,                 0.0001,                 0.0001,                 0.0001
                    110,                0.86663,                0.50076,                0.13362,                 0.5956,                0.44931,                0.46805,                0.28567,                0.58147,                0.58302,                0.06509,                 0.0001,                 0.0001,                 0.0001
                    111,                0.86975,                0.50251,                0.13621,                0.59451,                 0.4501,                0.46845,                0.28633,                0.58105,                0.58325,                0.06504,                 0.0001,                 0.0001,                 0.0001
                    112,                0.86266,                0.50187,                0.13392,                0.59151,                0.45254,                0.46937,                0.28667,                0.58068,                0.58289,                0.06496,                 0.0001,                 0.0001,                 0.0001
                    113,                0.85374,                0.50303,                0.13079,                0.59433,                0.45208,                0.47036,                0.28733,                0.58022,                0.58254,                0.06478,                 0.0001,                 0.0001,                 0.0001
                    114,                0.85606,                0.50189,                0.12942,                0.59413,                0.45246,                0.47014,                 0.2874,                0.58019,                0.58234,                0.06472,                 0.0001,                 0.0001,                 0.0001
                    115,                0.86517,                0.49846,                0.13499,                0.59307,                 0.4517,                0.47049,                0.28762,                0.57948,                0.58225,                 0.0644,                 0.0001,                 0.0001,                 0.0001
                    116,                0.84941,                0.50255,                0.12685,                0.59402,                0.45076,                 0.4709,                0.28824,                0.57922,                0.58221,                0.06454,                 0.0001,                 0.0001,                 0.0001
                    117,                0.84885,                0.50223,                0.12931,                0.59557,                0.45088,                0.47202,                0.28874,                0.57843,                0.58225,                0.06426,                 0.0001,                 0.0001,                 0.0001
                    118,                0.85206,                0.49834,                0.12927,                0.59379,                0.45216,                0.47314,                0.28964,                0.57784,                0.58206,                 0.0643,                 0.0001,                 0.0001,                 0.0001
