                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.93312,                0.50552,                0.14444,                0.57002,                0.41626,                 0.4368,                0.26538,                0.62961,                0.58748,                0.07029,                 0.0001,                 0.0001,                 0.0001
                     71,                0.92562,                0.50672,                0.14273,                0.56865,                0.41778,                0.43801,                0.26651,                0.62884,                0.58771,                0.07026,                 0.0001,                 0.0001,                 0.0001
                     72,                0.92587,                0.50469,                0.13925,                0.56825,                 0.4184,                0.43868,                0.26662,                0.62719,                0.58763,                 0.0699,                 0.0001,                 0.0001,                 0.0001
                     73,                0.92301,                  0.504,                0.14189,                0.57087,                0.42105,                0.44025,                0.26768,                0.62624,                0.58717,                0.06975,                 0.0001,                 0.0001,                 0.0001
                     74,                 0.9275,                0.50007,                0.14354,                0.57445,                0.42161,                0.44173,                0.26844,                0.62539,                0.58667,                0.06955,                 0.0001,                 0.0001,                 0.0001
                     75,                0.92408,                0.50452,                0.14062,                0.57976,                0.42028,                0.44281,                0.26901,                0.62433,                0.58662,                0.06951,                 0.0001,                 0.0001,                 0.0001
                     76,                0.92991,                0.50106,                0.14542,                0.58189,                0.42286,                 0.4443,                0.27019,                0.62312,                0.58661,                0.06923,                 0.0001,                 0.0001,                 0.0001
                     77,                 0.9234,                0.50243,                0.14025,                0.57869,                0.42603,                0.44541,                0.27092,                0.62179,                0.58639,                0.06906,                 0.0001,                 0.0001,                 0.0001
                     78,                0.92204,                 0.5018,                0.14179,                0.57916,                0.42541,                0.44567,                0.27116,                0.62066,                0.58626,                0.06859,                 0.0001,                 0.0001,                 0.0001
                     79,                 0.9162,                0.50386,                0.13989,                0.58013,                0.42582,                0.44652,                0.27149,                0.61933,                0.58584,                0.06853,                 0.0001,                 0.0001,                 0.0001
                     80,                0.92263,                0.50022,                0.14395,                0.58316,                0.42728,                0.44791,                0.27242,                0.61874,                0.58526,                0.06823,                 0.0001,                 0.0001,                 0.0001
                     81,                0.92013,                0.50092,                0.14236,                0.58265,                0.42969,                0.45056,                0.27405,                0.61813,                0.58509,                0.06795,                 0.0001,                 0.0001,                 0.0001
                     82,                0.91065,                0.50361,                0.13837,                 0.5809,                0.42994,                0.45103,                0.27427,                0.61737,                0.58495,                0.06779,                 0.0001,                 0.0001,                 0.0001
                     83,                0.91609,                0.50191,                0.14102,                0.58189,                0.43208,                0.45188,                0.27503,                0.61643,                0.58466,                0.06768,                 0.0001,                 0.0001,                 0.0001
                     84,                0.90354,                0.50377,                 0.1355,                0.58958,                0.43086,                0.45286,                0.27533,                0.61561,                0.58475,                0.06761,                 0.0001,                 0.0001,                 0.0001
                     85,                0.90741,                0.50229,                0.13577,                0.58681,                0.43271,                0.45375,                0.27603,                0.61514,                 0.5844,                 0.0675,                 0.0001,                 0.0001,                 0.0001
                     86,                0.90088,                0.50353,                0.13369,                0.58793,                0.43382,                  0.455,                0.27684,                 0.6139,                0.58447,                 0.0673,                 0.0001,                 0.0001,                 0.0001
                     87,                0.90861,                0.50334,                0.13671,                0.58882,                0.43443,                0.45594,                0.27758,                0.61286,                0.58463,                  0.067,                 0.0001,                 0.0001,                 0.0001
                     88,                 0.9018,                 0.5024,                0.13564,                0.59157,                0.43391,                0.45546,                0.27696,                 0.6122,                0.58422,                0.06705,                 0.0001,                 0.0001,                 0.0001
                     89,                0.90866,                0.50143,                0.13602,                0.59257,                  0.434,                0.45629,                0.27718,                0.61153,                  0.584,                0.06694,                 0.0001,                 0.0001,                 0.0001
                     90,                0.90449,                0.50436,                0.13585,                0.59285,                0.43576,                0.45689,                 0.2775,                0.61076,                0.58366,                0.06683,                 0.0001,                 0.0001,                 0.0001
                     91,                0.90645,                0.50042,                0.13559,                0.59579,                0.43438,                0.45696,                0.27774,                0.61027,                0.58373,                0.06666,                 0.0001,                 0.0001,                 0.0001
                     92,                0.89598,                0.50388,                0.13203,                0.59241,                0.43554,                0.45849,                 0.2785,                0.60934,                0.58355,                0.06657,                 0.0001,                 0.0001,                 0.0001
                     93,                 0.8985,                0.50227,                  0.133,                0.59394,                0.43764,                0.45907,                0.27867,                0.60874,                0.58339,                0.06629,                 0.0001,                 0.0001,                 0.0001
                     94,                0.89008,                0.50437,                0.13426,                0.59597,                0.43786,                0.46076,                0.28008,                0.60864,                0.58287,                0.06644,                 0.0001,                 0.0001,                 0.0001
                     95,                0.89971,                0.50087,                0.13523,                0.59644,                0.43936,                0.46172,                0.28091,                 0.6076,                0.58287,                0.06648,                 0.0001,                 0.0001,                 0.0001
                     96,                 0.8881,                0.50402,                0.13356,                0.59347,                0.43997,                0.46164,                0.28098,                 0.6067,                0.58294,                0.06625,                 0.0001,                 0.0001,                 0.0001
                     97,                0.90137,                0.49973,                0.13718,                0.59659,                0.43888,                0.46237,                0.28142,                0.60624,                0.58294,                0.06624,                 0.0001,                 0.0001,                 0.0001
                     98,                0.89636,                0.50143,                0.13568,                 0.6017,                0.43732,                0.46295,                0.28172,                0.60499,                0.58351,                0.06603,                 0.0001,                 0.0001,                 0.0001
                     99,                0.89003,                 0.5035,                0.13168,                0.60313,                0.43811,                0.46328,                0.28193,                0.60439,                0.58334,                0.06584,                 0.0001,                 0.0001,                 0.0001
                    100,                0.89302,                0.50088,                0.13425,                0.60103,                 0.4398,                0.46354,                0.28201,                0.60456,                0.58279,                0.06607,                 0.0001,                 0.0001,                 0.0001
                    101,                0.88209,                0.50464,                0.13474,                0.60501,                0.44042,                  0.465,                0.28288,                0.60368,                0.58298,                0.06617,                 0.0001,                 0.0001,                 0.0001
                    102,                0.89066,                0.50248,                0.13367,                0.60078,                0.44191,                0.46509,                0.28311,                0.60293,                0.58319,                0.06604,                 0.0001,                 0.0001,                 0.0001
                    103,                0.89315,                 0.5007,                0.13303,                0.60061,                0.44126,                0.46584,                0.28388,                0.60252,                0.58315,                0.06604,                 0.0001,                 0.0001,                 0.0001
                    104,                0.88764,                0.50097,                0.13389,                0.60029,                0.44427,                0.46674,                0.28488,                0.60151,                0.58334,                0.06599,                 0.0001,                 0.0001,                 0.0001
                    105,                0.87115,                0.50527,                0.12481,                0.60278,                0.44244,                0.46691,                0.28511,                0.60086,                0.58347,                0.06592,                 0.0001,                 0.0001,                 0.0001
                    106,                0.88008,                0.50424,                0.12955,                0.60109,                0.44297,                0.46625,                0.28433,                0.60034,                0.58301,                0.06574,                 0.0001,                 0.0001,                 0.0001
                    107,                0.86915,                0.50391,                0.12639,                0.60423,                0.44422,                 0.4675,                0.28496,                0.59968,                0.58325,                0.06573,                 0.0001,                 0.0001,                 0.0001
                    108,                0.89275,                0.49846,                 0.1315,                0.60394,                0.44565,                0.46781,                0.28517,                0.59896,                 0.5834,                0.06535,                 0.0001,                 0.0001,                 0.0001
                    109,                0.87471,                0.50086,                0.12927,                0.60467,                0.44635,                0.46899,                 0.2859,                 0.5985,                0.58363,                0.06536,                 0.0001,                 0.0001,                 0.0001
                    110,                0.87961,                0.50253,                0.13024,                0.60194,                0.44825,                0.46915,                0.28622,                  0.598,                0.58339,                 0.0654,                 0.0001,                 0.0001,                 0.0001
                    111,                0.88168,                0.50374,                0.13179,                0.60122,                0.44853,                0.46908,                0.28572,                0.59769,                0.58343,                0.06529,                 0.0001,                 0.0001,                 0.0001
                    112,                0.87427,                0.50384,                0.12941,                0.60143,                0.44958,                0.46915,                  0.286,                0.59733,                0.58272,                0.06532,                 0.0001,                 0.0001,                 0.0001
                    113,                0.86857,                  0.504,                0.12811,                0.60059,                0.45161,                0.47036,                 0.2869,                0.59724,                0.58231,                0.06533,                 0.0001,                 0.0001,                 0.0001
                    114,                0.87368,                0.50239,                0.12683,                 0.6021,                0.45194,                0.47154,                0.28788,                0.59656,                0.58252,                0.06528,                 0.0001,                 0.0001,                 0.0001
                    115,                0.87987,                0.49972,                0.13167,                0.60162,                0.45579,                0.47208,                0.28819,                0.59568,                0.58248,                0.06498,                 0.0001,                 0.0001,                 0.0001
                    116,                0.86347,                0.50401,                0.12348,                0.60239,                0.45628,                0.47226,                0.28835,                0.59522,                0.58252,                0.06504,                 0.0001,                 0.0001,                 0.0001
                    117,                0.86328,                0.50325,                0.12642,                0.60492,                0.45658,                0.47273,                 0.2888,                0.59459,                0.58255,                0.06503,                 0.0001,                 0.0001,                 0.0001
                    118,                0.86901,                0.49918,                0.12819,                0.60734,                0.45642,                0.47361,                0.28942,                0.59428,                0.58231,                0.06478,                 0.0001,                 0.0001,                 0.0001
                    119,                0.87083,                0.50123,                0.12578,                0.60582,                0.45891,                0.47487,                0.29077,                0.59382,                0.58179,                0.06468,                 0.0001,                 0.0001,                 0.0001
                    120,                0.86062,                0.50371,                0.12468,                0.60968,                0.45851,                0.47559,                0.29125,                0.59361,                0.58147,                0.06471,                 0.0001,                 0.0001,                 0.0001
                    121,                 0.8733,                0.50321,                 0.1281,                0.60653,                0.45903,                0.47653,                0.29163,                0.59254,                0.58188,                0.06454,                 0.0001,                 0.0001,                 0.0001
